time,species,N,alpha_AA,alpha_PA
1,Annual,43547.77218405569,0.00114841054018751,0
2,Annual,43547.58642403389,0.00114841054018751,0
3,Annual,43408.566737325804,0.00114841054018751,0
4,Annual,43399.14851035105,0.00114841054018751,0
5,Annual,64479.056239430334,0.00114841054018751,0
6,Annual,65320.16885370316,0.00114841054018751,0
7,Annual,65353.07432080581,0.00114841054018751,0
8,Annual,65380.31317734171,0.00114841054018751,0
9,Annual,65404.42584175356,0.00114841054018751,0
10,Annual,65420.03994911455,0.00114841054018751,0
11,Annual,65428.538382181585,0.00114841054018751,0
12,Annual,65432.55838946004,0.00114841054018751,0
13,Annual,65434.17472693119,0.00114841054018751,0
14,Annual,65434.666662637464,0.00114841054018751,0
15,Annual,65434.71332838607,0.00114841054018751,0
16,Annual,65434.629062543754,0.00114841054018751,0
17,Annual,65434.53638556689,0.00114841054018751,0
18,Annual,65434.46997301082,0.00114841054018751,0
19,Annual,65434.43083983891,0.00114841054018751,0
20,Annual,65434.41087155195,0.00114841054018751,0
21,Annual,65434.40205549793,0.00114841054018751,0
22,Annual,65434.39886750248,0.00114841054018751,0
23,Annual,65434.3981322213,0.00114841054018751,0
24,Annual,65434.3982648498,0.00114841054018751,0
25,Annual,65434.398583886585,0.00114841054018751,0
26,Annual,65434.39885367613,0.00114841054018751,0
27,Annual,65434.39902767255,0.00114841054018751,0
28,Annual,65434.39912312882,0.00114841054018751,0
29,Annual,65434.3991686958,0.00114841054018751,0
30,Annual,65434.39918720246,0.00114841054018751,0
31,Annual,65434.39919293974,0.00114841054018751,0
32,Annual,65434.39919357181,0.00114841054018751,0
33,Annual,65434.399192673256,0.00114841054018751,0
34,Annual,65434.399191650315,0.00114841054018751,0
35,Annual,65434.39919090918,0.00114841054018751,0
36,Annual,65434.39919046937,0.00114841054018751,0
37,Annual,65434.39919024381,0.00114841054018751,0
38,Annual,65434.399190143486,0.00114841054018751,0
39,Annual,65434.399190106786,0.00114841054018751,0
40,Annual,65434.39919009813,0.00114841054018751,0
41,Annual,65434.39919009926,0.00114841054018751,0
42,Annual,65434.39919010273,0.00114841054018751,0
43,Annual,65434.39919010577,0.00114841054018751,0
44,Annual,65434.399190107724,0.00114841054018751,0
45,Annual,65434.3991901088,0.00114841054018751,0
46,Annual,65434.3991901094,0.00114841054018751,0
47,Annual,65434.39919010948,0.00114841054018751,0
48,Annual,65434.399190109594,0.00114841054018751,0
49,Annual,65434.3991901097,0.00114841054018751,0
50,Annual,65434.39919010965,0.00114841054018751,0
1,Perennial first-year,14160.61632515268,0.00114841054018751,0
2,Perennial first-year,14480.83584528539,0.00114841054018751,0
3,Perennial first-year,14528.047158791844,0.00114841054018751,0
4,Perennial first-year,14521.039272074098,0.00114841054018751,0
5,Perennial first-year,12586.762565804935,0.00114841054018751,0
6,Perennial first-year,10020.621931617236,0.00114841054018751,0
7,Perennial first-year,8423.522720188117,0.00114841054018751,0
8,Perennial first-year,7610.244348087791,0.00114841054018751,0
9,Perennial first-year,7242.06553692299,0.00114841054018751,0
10,Perennial first-year,7097.3692305157965,0.00114841054018751,0
