title,focal_disease_sep_2019_density_exp
authors,"Christopher Wojan, Thomas Thrasher"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20190924 - 20190928
scanned-original,focal_disease_sep_2019_density_exp
entered-original,Density_Exp_Focal_Tiller_Infec_Sep2019
,
columns,meaning
date,date that data were collected
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
sp,"species (Ev = Elymus virginicus, Mv = Microstegium vimineum)"
ID,"plant ID (A = focal adult, 1 - 3 = focal seedlings)"
leaves_tot,number of leaves on a tiller
leaves_infec,number of leaves with at least two lesions on that same tiller
Bp_spots,indicator variable of whether or not individuals appeared to have Bipolaris infection (leopard-like spots)
scan,indicator variable of whether or not a leaf was collected for scanning
microbiome,number of leaves that were taken from the whole plot for microbiome analysis
seeds_collected,indicator variable of whether or not seeds were collected from Ev
flower_bags,number of mesh bags placed on Mv flowers (up to 5)
field_notes,notes
