fungicide,.draw,value
1,1,0.9873187551149493
1,2,0.973640381662951
1,3,0.9903912876405603
1,4,0.985925517542378
1,5,0.9901171321785687
1,6,0.9791613596603581
1,7,0.9675824944113336
1,8,0.9720386616903267
1,9,0.9923012121373906
1,10,0.9824495252368275
1,11,0.9918221437201682
1,12,0.973024755204974
1,13,0.9887035506749726
1,14,0.977034913622649
1,15,0.9848761672589945
1,16,0.9892677941084603
1,17,0.996088655592563
1,18,0.9545272906505001
1,19,0.9926627824299523
1,20,0.9929033981058654
1,21,0.9392281233881746
1,22,0.9980049145126516
1,23,0.9886688138759961
1,24,0.9884437596358376
1,25,0.9778148789659665
1,26,0.9716198501051225
1,27,0.9888828216087097
1,28,0.9818132654085459
1,29,0.9939205939778256
1,30,0.9933673452797013
1,31,0.9937906612211164
1,32,0.9960730731061253
1,33,0.9770850776194191
1,34,0.9808530048779759
1,35,0.9970703571017956
1,36,0.9553644572902072
1,37,0.9824959578069227
1,38,0.9810750893009317
1,39,0.9841910297686797
1,40,0.9787016409401015
1,41,0.9852618551207948
1,42,0.9881249733511225
1,43,0.9726602652399657
1,44,0.9885095091499662
1,45,0.9847068588295341
1,46,0.9940972532748513
1,47,0.9934432948301254
1,48,0.9899176974739324
1,49,0.9914535117799382
1,50,0.989707063198998
1,51,0.9731118258212598
1,52,0.9775083529533307
1,53,0.9565672302014611
1,54,0.9865565233383535
1,55,0.9882945272771462
1,56,0.9872959912326567
1,57,0.9926367378192619
1,58,0.9594046202352744
1,59,0.9918928609592564
1,60,0.9928574167265007
1,61,0.9801974946863168
1,62,0.9916256141637728
1,63,0.9882263267217906
1,64,0.9826380823882477
1,65,0.9898785473986174
1,66,0.9932337793379261
1,67,0.9954341084232834
1,68,0.9849784696746382
1,69,0.9931522135238705
1,70,0.9753603429288242
1,71,0.9940780002923133
1,72,0.9936896394971902
1,73,0.9899445786256479
1,74,0.9892112459976653
1,75,0.9651231005052319
1,76,0.9913854203262746
1,77,0.96180904021046
1,78,0.9970397675825574
1,79,0.9668093163547611
1,80,0.9962017056396522
1,81,0.9837295993687296
1,82,0.9829376200850923
1,83,0.9892622991370282
1,84,0.992856240249374
1,85,0.9926173219044557
1,86,0.9972271836898023
1,87,0.8869957815792748
1,88,0.9963623355267373
1,89,0.9847835875621902
1,90,0.9846445453660133
1,91,0.99363607383504
1,92,0.9805627624103591
1,93,0.9919075951562619
1,94,0.963076327021096
1,95,0.9929789191129618
1,96,0.9531382474923569
1,97,0.9938816229927199
1,98,0.9545795209466039
1,99,0.9921219602494593
1,100,0.9790556438921232
1,101,0.990443633776352
1,102,0.9879710129598778
1,103,0.9838581985414002
1,104,0.9658977366478222
1,105,0.98195994429556
1,106,0.9852393017562351
1,107,0.9872763853040539
1,108,0.9791328883205586
1,109,0.9873614567238954
1,110,0.9891293230506029
1,111,0.9818298729751624
1,112,0.9901600355860707
1,113,0.9716475849567546
1,114,0.995111002361306
1,115,0.9591413261515993
1,116,0.9887521865522618
1,117,0.9798998986363331
1,118,0.9808155096398306
1,119,0.9914833020917554
1,120,0.9931938173499466
1,121,0.9734504529528307
1,122,0.9808570507423731
1,123,0.9763627371640899
1,124,0.9900044572818024
1,125,0.9886262151574549
1,126,0.9562414009934472
1,127,0.961197050026453
1,128,0.9249532655045161
1,129,0.9906040130083763
1,130,0.9728769586048511
1,131,0.9929795363269877
1,132,0.9969495246652414
1,133,0.9971247286594443
1,134,0.9774103742307927
1,135,0.9722926332118873
1,136,0.9722591505661822
1,137,0.9858645510669122
1,138,0.9890241310059974
1,139,0.9644808000343116
1,140,0.9946969123158361
1,141,0.9946856933483025
1,142,0.993002317105766
1,143,0.981061548349744
1,144,0.9933005095007367
1,145,0.9937057503252213
1,146,0.9894777428994114
1,147,0.9970710681385907
1,148,0.9763170533347005
1,149,0.9960216395508984
1,150,0.9921741527637504
1,151,0.9784676912372641
1,152,0.9935424974797542
1,153,0.9860481558431947
