Weeks,Focal,Variable,Treatment,Estimate,l95,u95
16,invader,canopy cover,control,0.014713035415131937,-0.10251139396641132,0.1380915157237464
16,invader,canopy cover,fungicide,-0.011199641420304825,-0.0742006067454003,0.05573608918985627
16,first-year comp.,canopy cover,control,-0.04121943453018127,-0.48846768885932657,0.38057677953067154
16,first-year comp.,canopy cover,fungicide,-0.06277201474339245,-0.4045056596582634,0.23668852434717721
16,adult comp.,canopy cover,control,0.12984414725442822,-0.21640924012354934,0.4877253889468306
16,adult comp.,canopy cover,fungicide,0.06696281063370794,-0.16481428861281883,0.3163541584325846
16,invader,soil moisture,control,-0.10517326144934053,-0.27293634936726074,0.05912135164777072
16,invader,soil moisture,fungicide,-0.03648882779391215,-0.17845848412896786,0.10236578910543406
16,first-year comp.,soil moisture,control,-0.3428884468093733,-0.8237815931869121,0.1177535331022701
16,first-year comp.,soil moisture,fungicide,-0.1523546569127773,-0.8884254261158927,0.6027100851821111
16,adult comp.,soil moisture,control,0.11333187567370631,-0.29074302772823957,0.540846082601122
16,adult comp.,soil moisture,fungicide,0.052787521858501135,-0.6041266487568326,0.6606791026396492
20,invader,canopy cover,control,0.32250832147077085,-0.013820210928467205,0.6237651218703695
20,invader,canopy cover,fungicide,0.051966721313717816,-0.05873392235925796,0.17022615215946663
20,first-year comp.,canopy cover,control,0.008745930687742468,-0.5205956458685956,0.4441178116215453
20,first-year comp.,canopy cover,fungicide,0.04500497780373853,-0.16902866316366835,0.27003549886303674
20,adult comp.,canopy cover,control,-0.491915621293481,-1.2528886861367399,0.148205226276478
20,adult comp.,canopy cover,fungicide,0.10716656916315921,-0.21902976177359787,0.5404248891508798
20,invader,soil moisture,control,-0.3528382352288176,-0.9028320018664073,0.21445180974526035
20,invader,soil moisture,fungicide,-0.012478147691386002,-0.2931674014587365,0.2723733871620156
20,first-year comp.,soil moisture,control,-0.08203711537811714,-0.6341214957680007,0.46995922312512617
20,first-year comp.,soil moisture,fungicide,-0.20053964450053638,-0.6674305573908467,0.31083611625634194
20,adult comp.,soil moisture,control,-0.02189924074842657,-0.7144711327876505,0.6012124179274372
20,adult comp.,soil moisture,fungicide,-0.14255985036196878,-1.6237803372235147,1.1849103987850844
