effect,component,group,term,estimate,std.error,conf.low,conf.high,rhat,ess
fixed,cond,NA,(Intercept),-3.005272966175979,0.35185728177954284,-3.6807565347406035,-2.311755625330234,1.001106806689037,3976.982141356089
fixed,cond,NA,fungicide,-0.8098699333112889,0.4987339653996415,-1.8036968563084568,0.13468926261521405,1.0010868168728784,3838.713162140527
fixed,cond,NA,background_density,-0.02819041898413349,0.03842616154165961,-0.09911770301901789,0.051342912430902735,1.0013235656106343,3741.6200298054464
fixed,cond,NA,monthjul,-0.1694348314992938,0.4647015616189104,-1.0411233369643822,0.7703861070295779,1.0006905942523938,4628.039882286977
fixed,cond,NA,monthearly_aug,0.9469024652998159,0.479507381082141,0.02059137258503792,1.8890956112041806,1.0012614676707292,4509.490318708906
fixed,cond,NA,monthlate_aug,2.1054565470444793,0.5051347567849788,1.127023560211339,3.109180263278537,1.0007320849596697,4431.02369447892
fixed,cond,NA,fungicide:background_density,0.0920762747039834,0.0551293871221961,-0.014307228349492995,0.20092866959119965,1.001270022219403,3782.9532710561366
fixed,cond,NA,fungicide:monthjul,0.009540824689614733,0.6664869655879534,-1.3226928037124925,1.3095870888911492,1.0011562858577085,4433.75757990212
fixed,cond,NA,fungicide:monthearly_aug,-0.1326440457733954,0.6767770962685733,-1.4447330215958243,1.2119642969921465,1.0011448655725108,4548.270663689646
fixed,cond,NA,fungicide:monthlate_aug,0.8747593656456655,0.698272880433436,-0.47855020587434804,2.2588920910794377,1.000542209863774,4199.35620387163
fixed,cond,NA,background_density:monthjul,0.031710329402629966,0.050135654227877656,-0.06481036851458098,0.13067142103264665,1.000888136585954,4188.231257667682
fixed,cond,NA,background_density:monthearly_aug,0.02023207534834531,0.0505848247908297,-0.07618452655070615,0.12202634583642064,1.0013235972441432,4237.055052075649
fixed,cond,NA,background_density:monthlate_aug,0.030580708609545034,0.05409760155314753,-0.07826216812168593,0.13362982435640994,1.0007409578631938,4192.907843961143
fixed,cond,NA,fungicide:background_density:monthjul,-0.06284070917610464,0.07245101023453425,-0.20286412688141425,0.08248862304466754,1.0014476973141115,4209.5337556205
fixed,cond,NA,fungicide:background_density:monthearly_aug,-0.035282321289841184,0.0717951197477069,-0.17786048302344787,0.10295591141245321,1.001217040310055,4297.478185935273
fixed,cond,NA,fungicide:background_density:monthlate_aug,-0.08279315463296794,0.07500846212614368,-0.23053197659001062,0.06196239512662029,1.0005718014803997,4115.056145113639
ran_pars,cond,plotID,sd__(Intercept),0.3441185776743186,0.15217731096449458,1.8715667608004346e-6,0.591765551047871,1.0001910261741418,3123.7988998095902
ran_pars,cond,plotID:plantID,sd__(Intercept),0.14378152504414576,0.10611885324231737,9.846447446295482e-8,0.34412587871766015,1.0008213655049993,5646.166647822918
ran_pars,cond,Residual,sd__Observation,1.439322985145608,0.05958832522117118,1.3243544094625925,1.5555673162720216,1.000018843959646,12716.040122269464
