Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Mv_1_July,1,449383,449383,40.752,255,3907.222,1619.594,353.281,1.808
lesions:D1_10F_Mv_1_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_10F_Mv_2_July,1,604230,604230,42.482,254.998,4719.018,1901.593,404.571,178.399
lesions:D1_10F_Mv_2_July,1,99,99,0.011,255,40.627,14.575,8.648,112.033
leaf:D1_10F_Mv_3_July,1,454314,454314,44.317,253.108,3879.537,1571.679,368.046,178.372
lesions:D1_10F_Mv_3_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_10F_Mv_Edge_July,20,9485381,474269.05,42.415,254.975,4479.263,1767.135,337.025,98.774
lesions:D1_10F_Mv_Edge_July,1,614,614,0.003,255,95.497,34.486,22.669,148.913
leaf:D1_10W_Mv_1_July,1,372005,372005,39.934,255,3720.05,1502.739,315.192,0.213
lesions:D1_10W_Mv_1_July,4,132,33,0.024,255,21.142,7.592,5.444,135.819
leaf:D1_10W_Mv_2_July,1,377690,377690,38.479,255,3592.927,1473.7,326.315,5.078
lesions:D1_10W_Mv_2_July,1,28,28,0.005,255,19.556,7.247,4.919,31.998
leaf:D1_10W_Mv_3_July,1,296677,296677,33.984,255,3244.123,1257.333,300.43,10.247
lesions:D1_10W_Mv_3_July,1,88,88,0.017,255,33.799,10.999,10.186,139.541
leaf:D1_10W_Mv_Edge_July,19,8107315,426700.789,34.481,254.981,4246.307,1638.388,327.083,103.916
lesions:D1_10W_Mv_Edge_July,1,9,9,3.98E-05,255,9.899,3.919,2.924,159.699
leaf:D1_1F_Mv_1_July,1,212492,212492,24.232,255,2924.67,1171.372,230.971,179.535
lesions:D1_1F_Mv_1_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1F_Mv_2_July,1,124276,124276,29.152,255,2160.67,773.734,204.506,177.895
lesions:D1_1F_Mv_2_July,1,134,134,0.065,255,42.87,14.371,11.872,15.894
leaf:D1_1F_Mv_Edge_July,20,4729293,236464.65,24.129,255,3095.621,1234.517,240.519,108.266
lesions:D1_1F_Mv_Edge_July,2,1780,890,0.01,255,134.125,48.782,14.724,85.35
leaf:D1_1W_Mv_1_July,1,657024,657024,39.585,255,4838.674,1999.442,418.391,1.413
lesions:D1_1W_Mv_1_July,2,136,68,0.014,255,28.971,10.194,7.773,136.916
leaf:D1_1W_Mv_2_July,1,196271,196271,31.223,255,2454.178,1010.27,247.36,0.658
lesions:D1_1W_Mv_2_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1W_Mv_3_July,1,255812,255812,33.515,255,3070.393,1132.699,287.552,3.962
lesions:D1_1W_Mv_3_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1W_Mv_Edge_July,20,8179646,408982.3,38.64,254.851,3983.858,1629.169,315.942,99.027
lesions:D1_1W_Mv_Edge_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_2F_Mv_1_July,1,554291,554291,32.204,254.999,4589.544,1859.326,379.57,4.869
lesions:D1_2F_Mv_1_July,3,1607,535.667,0.188,255,88.474,33.15,17.103,160.775
leaf:D1_2F_Mv_2_July,1,365498,365498,31.364,255,3537.052,1271.571,365.978,2.117
lesions:D1_2F_Mv_2_July,2,312,156,0.059,255,47.042,18.515,10.656,179.388
leaf:D1_2F_Mv_3_July,1,359502,359502,33.219,255,3413.773,1365.084,335.314,1.726
lesions:D1_2F_Mv_3_July,4,1917,479.25,0.363,255,76.659,29.365,16.055,128.516
leaf:D1_2F_Mv_Edge_July,19,8136130,428217.368,37.411,254.907,4349.096,1764.441,302.629,62.253
lesions:D1_2F_Mv_Edge_July,27,10720,397.037,0.051,255,76.248,26.192,13.901,98.839
leaf:D1_2W_Mv_1_July,1,276917,276917,43.27,255,2800.979,1118.269,315.292,173.646
lesions:D1_2W_Mv_1_July,1,226,226,0.052,255,54.527,17.594,16.356,80.988
leaf:D1_2W_Mv_2_July,1,492244,492244,55.158,255,3810.123,1551.532,403.952,1.439
lesions:D1_2W_Mv_2_July,3,863,287.667,0.129,255,55.113,19.841,12.685,161.241
leaf:D1_2W_Mv_3_July,1,634042,634042,46.944,255,4707.621,1910.319,422.593,178.767
lesions:D1_2W_Mv_3_July,3,712,237.333,0.078,255,57.113,21.2,13.252,108.848
leaf:D1_2W_Mv_Edge_July,20,10312960,515648,42.988,254.863,4608.527,1832.009,352.64,64.211
lesions:D1_2W_Mv_Edge_July,10,1612,161.2,0.007,255,44.266,16.973,8.895,109.462
leaf:D1_3F_Mv_1_July,1,496256,496256,28.493,254.999,4575.226,1746.08,361.869,2.477
lesions:D1_3F_Mv_1_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_3F_Mv_2_July,1,645409,645409,28.541,255,5094.813,2072.906,396.429,10.907
lesions:D1_3F_Mv_2_July,1,350,350,0.028,255,76.426,26.485,16.826,22.875
leaf:D1_3F_Mv_3_July,1,421840,421840,30.246,255,3981.052,1657.247,324.094,171.102
lesions:D1_3F_Mv_3_July,1,54,54,0.007,255,26.971,8.749,7.859,14.665
leaf:D1_3F_Mv_Edge_July,20,8256448,412822.4,34.666,254.999,4088.645,1659.323,309.623,97.678
lesions:D1_3F_Mv_Edge_July,3,230,76.667,0.001,255,32.156,11.748,5.959,14.142
leaf:D1_3W_Mv_1_July,1,363225,363225,41.527,255,3643.873,1393.866,331.791,1.638
lesions:D1_3W_Mv_1_July,4,1439,359.75,0.284,255,70.502,27.167,15.046,48.575
leaf:D1_3W_Mv_2_July,1,293676,293676,42.25,255,2736.494,1104.453,338.556,7.315
lesions:D1_3W_Mv_2_July,2,438,219,0.107,255,60.355,21.193,13.076,136.647
leaf:D1_3W_Mv_3_July,1,658125,658125,41.776,255,4582.733,1852.056,452.443,1.502
lesions:D1_3W_Mv_3_July,6,654,109,0.071,255,37.823,13.976,8.85,66.127
leaf:D1_3W_Mv_Edge_July,19,9879788,519988.842,43.373,254.916,4779.365,1808.503,362.804,49.605
lesions:D1_3W_Mv_Edge_July,9,2632,292.444,0.012,255,60.516,21.047,12.28,79.544
leaf:D1_4F_Mv_1_July,1,118092,118092,33.304,255,1789.97,717.169,209.657,177.327
lesions:D1_4F_Mv_1_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_4F_Mv_2_July,1,285088,285088,22.351,254.932,3902.092,1578.489,229.957,5.908
lesions:D1_4F_Mv_2_July,2,176,88,0.033,255,38.799,16.173,6.907,92.346
leaf:D1_4F_Mv_3_July,1,364597,364597,31.267,255,3156.4,1279.05,362.941,8.424
lesions:D1_4F_Mv_3_July,4,335,83.75,0.06,255,36.763,15.121,6.706,17.685
leaf:D1_4F_Mv_Edge_July,20,8822714,441135.7,36.16,254.895,4398.435,1743.736,318.488,73.277
lesions:D1_4F_Mv_Edge_July,5,893,178.6,0.004,255,46.187,16.176,11.447,129.349
leaf:D1_4W_Mv_1_July,1,239739,239739,32.795,255,2685.96,1128.175,270.565,176.101
lesions:D1_4W_Mv_1_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_4W_Mv_2_July,1,344278,344278,34.674,254.085,3439.614,1333.367,328.753,0.153
lesions:D1_4W_Mv_2_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_4W_Mv_3_July,1,461333,461333,45.472,255,4474.792,1653.452,355.249,1.317
lesions:D1_4W_Mv_3_July,4,21,5.25,0.003,255,7.364,2.964,1.99,64.836
leaf:D1_4W_Mv_Edge_July,20,7125069,356253.45,32.82,254.987,3611.079,1471.495,301.24,108.014
lesions:D1_4W_Mv_Edge_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_5F_Mv_1_July,1,357374,357374,40.357,255,3688.535,1514.325,300.479,176.819
lesions:D1_5F_Mv_1_July,2,928,464,0.169,255,84.719,31.349,18.778,175.674
leaf:D1_5F_Mv_2_July,1,618828,618828,56.776,255,4764.005,1980.597,397.818,179.89
lesions:D1_5F_Mv_2_July,5,729,145.8,0.085,255,41.524,14.555,9.685,74.598
leaf:D1_5F_Mv_3_July,1,476563,476563,35.416,255,4266.591,1689.878,359.067,177.711
lesions:D1_5F_Mv_3_July,2,255,127.5,0.035,255,36.335,13.263,9.141,162.709
leaf:D1_5F_Mv_Edge_July,20,8644601,432230.05,33.845,254.892,4224.137,1691.156,319.505,107.675
lesions:D1_5F_Mv_Edge_July,22,7167,325.773,0.03,255,73.895,26.021,12.612,96.01
leaf:D1_5W_Mv_1_July,1,614536,614536,45.978,255,5064.231,2084.923,375.29,177.493
lesions:D1_5W_Mv_1_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
