Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Mv_1_LateAug,1,42747,42747,21.717,255,1429.82,597.003,91.167,8.85
lesions:D1_10F_Mv_1_LateAug,14,4707,336.214,5.341,255,51.73,16.009,6.641,44.294
leaf:D1_10F_Mv_2_LateAug,1,31619,31619,16.038,255,1390.428,515.111,78.155,150.056
lesions:D1_10F_Mv_2_LateAug,4,1440,360,0.857,255,53.416,20.108,8.085,105.17
leaf:D1_10F_Mv_3_LateAug,1,77793,77793,24.06,255,1871.668,749.661,132.125,8.011
lesions:D1_10F_Mv_3_LateAug,1,75913,75913,51.967,255,1882.521,741.283,130.389,8.071
leaf:D1_10F_Mv_Edge_LateAug,20,8603465,430173.25,33.327,255,4188.151,1706.869,317.81,90.512
lesions:D1_10F_Mv_Edge_LateAug,52,18637,358.404,0.078,255,73.267,26.828,9.099,69.606
leaf:D1_10W_Mv_1_LateAug,1,45610,45610,22.73,255,1431.041,513.182,113.162,163.655
lesions:D1_10W_Mv_1_LateAug,18,29158,1619.889,18.696,255,104.04,29.527,9.989,54.719
leaf:D1_10W_Mv_2_LateAug,1,73280,73280,27.263,255,1761.678,741.441,125.84,5.518
lesions:D1_10W_Mv_2_LateAug,1,72594,72594,59.383,255,1704.808,738.468,125.164,5.509
leaf:D1_10W_Mv_3_LateAug,1,46444,46444,22.672,255,1513.627,630.024,93.86,163.705
lesions:D1_10W_Mv_3_LateAug,27,11432,423.407,8.268,255,80.358,24.629,7.842,121.04
leaf:D1_10W_Mv_Edge_LateAug,19,8157683,429351.737,30.471,255,4129.748,1668.268,321.857,85.336
lesions:D1_10W_Mv_Edge_LateAug,41,8952,218.341,0.034,255,54.321,21.383,8.672,103.864
leaf:D1_1F_Mv_1_LateAug,1,6436,6436,7.322,255,556.333,232.133,35.301,166.966
lesions:D1_1F_Mv_1_LateAug,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1F_Mv_2_LateAug,1,6436,6436,7.322,255,556.333,232.133,35.301,166.966
lesions:D1_1F_Mv_2_LateAug,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1F_Mv_3_LateAug,1,9063,9063,7.818,255,619.161,242.63,47.559,176.842
lesions:D1_1F_Mv_3_LateAug,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_1F_Mv_Edge_LateAug,19,6073781,319672.684,28.893,255,3697.025,1432.034,277.626,24.419
lesions:D1_1F_Mv_Edge_LateAug,6,1265,210.833,0.006,255,76.477,26.933,9.045,113.723
leaf:D1_1W_Mv_1_LateAug,1,65333,65333,31.149,255,1857.377,757.993,109.743,179.462
lesions:D1_1W_Mv_1_LateAug,2,62590,31295,59.17,255,899.902,368.082,56.569,172.371
leaf:D1_1W_Mv_2_LateAug,1,54738,54738,12.889,255,1794.66,637.769,109.279,35.265
lesions:D1_1W_Mv_2_LateAug,18,14189,788.278,4.836,255,111.617,37.056,10.175,67.757
leaf:D1_1W_Mv_3_LateAug,1,72132,72132,37.169,255,2020.548,833.715,110.159,4.312
lesions:D1_1W_Mv_3_LateAug,6,67605,11267.5,54.485,255,346.278,138.337,21.29,50.496
leaf:D1_1W_Mv_Edge_LateAug,19,6466754,340355.474,29.778,254.989,3713.037,1479.908,290.662,58.062
lesions:D1_1W_Mv_Edge_LateAug,67,18126,270.537,0.089,255,67.055,22.703,7.838,102.138
leaf:D1_2F_Mv_1_LateAug,1,33728,33728,15.243,255,1295.428,538.341,79.771,177.835
lesions:D1_2F_Mv_1_LateAug,8,27125,3390.625,51.449,255,200.56,62.95,13.334,100.451
leaf:D1_2F_Mv_2_LateAug,1,53221,53221,26.768,255,1578.507,649.804,104.282,173.76
lesions:D1_2F_Mv_2_LateAug,1,52049,52049,56.119,255,1589.762,640.819,103.416,173.82
leaf:D1_2F_Mv_3_LateAug,1,45842,45842,15.697,255,1592.396,662.988,88.038,17.671
lesions:D1_2F_Mv_3_LateAug,26,17369,668.038,11.012,255,84.859,24.843,8.468,39.966
leaf:D1_2F_Mv_Edge_LateAug,19,6352952,334365.895,29.8,254.999,3555.865,1405.458,286.684,84.762
lesions:D1_2F_Mv_Edge_LateAug,436,221414,507.83,1.081,254.978,70.603,20.436,8.514,73.448
leaf:D1_2W_Mv_1_LateAug,1,31067,31067,14.934,255,1303.914,554.498,71.336,174.6
lesions:D1_2W_Mv_1_LateAug,1,29236,29236,52.267,255,1338.063,542.908,68.565,174.764
leaf:D1_2W_Mv_2_LateAug,1,33254,33254,17.758,255,1276.441,522.176,81.084,179.531
lesions:D1_2W_Mv_2_LateAug,27,5388,199.556,10.278,255,41.357,12.101,6.267,56.587
leaf:D1_2W_Mv_3_LateAug,1,65251,65251,20.24,255,1727.193,727.196,114.247,176.539
lesions:D1_2W_Mv_3_LateAug,1,63533,63533,60.928,255,1761.117,719.865,112.372,176.484
leaf:D1_2W_Mv_Edge_LateAug,20,8247154,412357.7,31.945,254.938,4040.702,1653.481,312.956,117.013
lesions:D1_2W_Mv_Edge_LateAug,81,26776,330.568,0.108,255,57.407,20.716,9.893,90.961
leaf:D1_3F_Mv_1_LateAug,1,47782,47782,24.57,255,1644.153,660.092,92.166,165.713
lesions:D1_3F_Mv_1_LateAug,18,16494,916.333,11.011,255,110.897,28.944,10.893,85.533
leaf:D1_3F_Mv_2_LateAug,1,57778,57778,18.618,255,1783.349,744.117,98.862,16.654
lesions:D1_3F_Mv_2_LateAug,11,386,35.091,0.192,255,20.643,7.618,4.25,74.846
leaf:D1_3F_Mv_3_LateAug,1,114216,114216,26.545,255,2326.396,979.59,148.454,5.962
lesions:D1_3F_Mv_3_LateAug,1,111284,111284,44.995,255,2502.102,963.267,147.094,5.916
leaf:D1_3F_Mv_Edge_LateAug,20,6690772,334538.6,28.931,255,3608.38,1497.335,281.795,63.711
lesions:D1_3F_Mv_Edge_LateAug,89,15478,173.91,0.072,255,47.426,15.786,7.708,88.482
leaf:D1_3W_Mv_1_LateAug,1,75299,75299,22.573,255,1956.899,804.292,119.203,10.748
lesions:D1_3W_Mv_1_LateAug,1,74008,74008,40.993,255,1951.526,797.492,118.158,10.691
leaf:D1_3W_Mv_2_LateAug,1,51177,51177,27.929,255,1416.139,584.245,111.529,175.161
lesions:D1_3W_Mv_2_LateAug,1,49766,49766,62.278,255,1420.222,582.562,108.768,175.04
leaf:D1_3W_Mv_3_LateAug,1,28928,28928,10.42,255,1427.124,444.7,82.825,4.148
lesions:D1_3W_Mv_3_LateAug,1,27056,27056,25.449,255,1465.994,435.292,79.139,5.007
leaf:D1_3W_Mv_Edge_LateAug,25,8561516,342460.64,29.803,255,3742.558,1541.71,277.131,70.075
lesions:D1_3W_Mv_Edge_LateAug,226,148502,657.088,0.573,255,90.884,31.027,11.341,69.592
leaf:D1_4F_Mv_1_LateAug,1,22393,22393,17.281,255,1093.242,453.938,62.81,156.577
lesions:D1_4F_Mv_1_LateAug,5,19605,3921,20.689,255,219.683,85.959,17.147,122.75
leaf:D1_4F_Mv_2_LateAug,1,65438,65438,27.834,255,1920.85,794.608,104.855,2.185
