Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Ev1,1,74753,74753,8.294,255,3352.632,1597.681,59.573,1.209
lesions:D1_10F_Ev1,6,7438,1239.667,6.163,255,203.221,77.88,14.142,90.815
leaf:D1_10F_EvA,2,632143,316071.5,27.163,255,6925.93,3155.612,122.029,179.05
lesions:D1_10F_EvA,31,95384,3076.903,6.171,255,270.682,108.43,14.066,98.24
leaf:D1_10F_EvAR1,1,441828,441828,20.996,255,8772.962,4217.799,133.376,0.982
lesions:D1_10F_EvAR1,35,16096,459.886,2.247,255,92.073,36.679,9.972,50.183
leaf:D1_10F_EvAR2,1,139041,139041,13.556,254.998,5599.651,2352.084,75.266,179.388
lesions:D1_10F_EvAR2,11,23005,2091.364,6.89,255,233.402,92.309,16.444,92.095
leaf:D1_10F_EvAR3,1,461713,461713,21.982,255,6686.175,2915.147,201.661,0.781
lesions:D1_10F_EvAR3,30,350884,11696.133,50.952,255,397.078,113.606,15.043,73.703
leaf:D1_10F_EvAR4,1,496263,496263,19.858,255,8062.66,3306.841,191.077,1.687
lesions:D1_10F_EvAR4,53,206234,3891.208,22.733,255,208.475,66.892,13.875,88.892
leaf:D1_10F_EvAR5_edited,1,512663,512663,29.226,255,6938.332,2406.359,271.257,1.311
lesions:D1_10F_EvAR5_edited,37,293092,7921.405,42.029,255,252.098,79.18,22.241,72.443
leaf:D1_10F_EvAR6,1,504544,504544,21.694,255,8118.962,4052.531,158.52,0.009
lesions:D1_10F_EvAR6,24,148202,6175.083,24.55,255,270.824,96.882,15.534,86.864
leaf:D1_10F_EvAR7,1,225500,225500,10.073,254.984,7215.489,3093.1,92.825,2.291
lesions:D1_10F_EvAR7,18,105345,5852.5,17.677,255,395.047,145.877,17.037,68.853
leaf:D1_10F_EvAR8,1,188385,188385,15.245,255,5164.195,2331.755,102.866,2.829
lesions:D1_10F_EvAR8,12,47209,3934.083,11.547,255,362.919,160.043,13.348,24.8
leaf:D1_10W_Ev1,2,119392,59696,7.325,255,2133.398,935.922,75.315,7.491
lesions:D1_10W_Ev1,13,8877,682.846,1.028,255,89.064,36.742,11.545,75.2
leaf:D1_10W_Ev2,1,168523,168523,11.039,254.998,6151.599,2551.762,84.087,179.776
lesions:D1_10W_Ev2,12,71207,5933.917,22.342,255,359.07,150.53,15.906,100.192
leaf:D1_10W_EvAR1,1,319989,319989,18.354,255,7377.572,2916.739,139.684,0.282
lesions:D1_10W_EvAR1,12,706,58.833,0.108,255,27.74,11.216,5.409,96.214
leaf:D1_10W_EvAR2,2,671343,335671.5,19.586,255,6436.352,3027.16,131.393,3.157
