Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Ev_1_July,1,353878,353878,16.896,255,7689,3012.967,149.544,177.359
lesions:D1_10F_Ev_1_July,47,126588,2693.362,12.865,255,188.248,71.894,9.717,100.719
leaf:D1_10F_Ev_2_July,1,297582,297582,11.368,255,7393.223,2513.178,150.763,178.409
lesions:D1_10F_Ev_2_July,62,118900,1917.742,8.058,255,149.731,37.474,8.961,70.329
leaf:D1_10F_Ev_3_July,1,459291,459291,12.751,255,9048.404,3663.615,159.62,174.008
lesions:D1_10F_Ev_3_July,37,66184,1788.757,3.564,255,172.49,56.374,8.762,115.077
leaf:D1_10F_Ev_A_July,1,209563,209563,12.74,255,5155.292,1921.06,138.894,169.867
lesions:D1_10F_Ev_A_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_10W_Ev_1_July,1,160511,160511,16.42,254.994,4927.325,2204.234,92.717,2.305
lesions:D1_10W_Ev_1_July,8,17298,2162.25,5.185,255,232.311,92.578,10.174,38.521
leaf:D1_10W_Ev_3_July,1,230564,230564,15.417,254.987,5409.516,2393.242,122.663,1.386
lesions:D1_10W_Ev_3_July,5,37133,7426.6,8.625,255,578.715,154.515,19.084,6.257
leaf:D1_10W_Ev_A_July,1,285691,285691,14,254.998,6618.168,2732.329,133.129,0.31
lesions:D1_10W_Ev_A_July,9,2311,256.778,0.538,255,67.581,27.874,8.289,91.557
leaf:D1_1F_Ev_A_July,1,54597,54597,7.818,255,3081.225,1247.73,55.713,176.229
lesions:D1_1F_Ev_A_July,19,25660,1350.526,12.569,255,188.11,67.715,8.396,88.201
leaf:D1_1W_Ev_1_July,1,127420,127420,12.685,255,4876.095,2319.122,69.956,4.374
lesions:D1_1W_Ev_1_July,7,2151,307.286,0.476,255,104.103,47.333,6.533,13.7
leaf:D1_1W_Ev_2_July_edited,1,212570,212570,23.734,255,4979.811,2430.652,111.35,179.151
lesions:D1_1W_Ev_2_July_edited,13,40563,3120.231,13.612,255,165.415,70.946,10.675,112.87
leaf:D1_1W_Ev_3_July,1,355403,355403,24.621,255,5990.479,2949.682,153.411,179.755
lesions:D1_1W_Ev_3_July,41,35067,855.293,7.679,255,115.269,48.365,8.235,84.831
leaf:D1_1W_Ev_A_July,1,180688,180688,13.194,255,5465.283,2530.898,90.9,178.837
lesions:D1_1W_Ev_A_July,12,25195,2099.583,8.271,255,249.73,95.968,13.957,89.209
leaf:D1_2F_Ev_1_July,1,253929,253929,10.17,255,6276.346,2773.588,116.568,172.488
lesions:D1_2F_Ev_1_July,44,18098,411.318,1.621,255,76.788,29.203,8.743,130.596
leaf:D1_2F_Ev_2_July,1,568053,568053,16.059,254.997,10644.375,3710.981,194.899,92.829
lesions:D1_2F_Ev_2_July,27,74173,2747.148,3.664,255,266.88,59.135,11.386,84.061
leaf:D1_2F_Ev_3_July,1,542085,542085,16.833,254.981,10058.859,3676.063,187.756,177.642
lesions:D1_2F_Ev_3_July,21,257154,12245.429,13.761,255,509.343,122.018,12.664,68.117
leaf:D1_2F_Ev_A_July,1,144362,144362,16.651,255,4940.32,2043.844,89.932,3.31
lesions:D1_2F_Ev_A_July,20,23602,1180.1,6.317,255,176.682,52.761,13.113,67.657
leaf:D1_2W_Ev_1_July,1,499977,499977,20.869,255,9681.024,3862.047,164.832,2.067
lesions:D1_2W_Ev_1_July,5,15994,3198.8,1.326,255,499.445,126.17,14.996,37.383
leaf:D1_2W_Ev_2_July_edited,1,425955,425955,28.124,255,7867.731,3350.071,161.89,1.725
lesions:D1_2W_Ev_2_July_edited,15,38346,2556.4,4.816,255,267.117,104.09,8.16,62.177
leaf:D1_2W_Ev_3_July,1,380127,380127,17.645,254.997,10037.999,3091.719,156.545,1.696
lesions:D1_2W_Ev_3_July,43,109112,2537.488,6.356,255,232.667,67.013,9.512,72.618
leaf:D1_2W_Ev_A_July,1,181022,181022,15.548,255,4938.046,2281.15,101.039,0.811
lesions:D1_2W_Ev_A_July,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D1_3F_Ev_1_July,1,498646,498646,13.524,255,8636.273,3279.896,193.572,97.486
lesions:D1_3F_Ev_1_July,26,210322,8089.308,9.326,255,211.191,79.038,11.652,88.306
leaf:D1_3F_Ev_2_July,1,322471,322471,16.81,255,6683.823,2498.103,164.358,175.191
lesions:D1_3F_Ev_2_July,68,138568,2037.765,13.818,255,92.566,27.471,7.107,78.801
leaf:D1_3F_Ev_3_July,2,447861,223930.5,3.173,254.879,5978.354,1582.078,112.791,133.527
lesions:D1_3F_Ev_3_July,30,147162,4905.4,1.204,255,359.088,79.303,13.387,100.54
leaf:D1_3F_Ev_A_July,1,225163,225163,7.345,255,7411.039,2465.453,116.281,177.893
lesions:D1_3F_Ev_A_July,23,140428,6105.565,17.14,255,280.185,98.396,10.338,104.851
leaf:D1_3W_Ev_1_July,1,524062,524062,30.262,254.918,9306.902,4124.209,161.79,0.847
lesions:D1_3W_Ev_1_July,22,35215,1600.682,4.043,255,114.527,41.967,9.421,79.813
leaf:D1_3W_Ev_2_July_edited,1,289557,289557,13.188,255,7421.853,2538.76,145.219,1.911
lesions:D1_3W_Ev_2_July_edited,12,40116,3343,2.235,255,256.98,75.325,10.685,58.536
leaf:D1_3W_Ev_3_July_edited,1,361953,361953,15.604,254.999,7813.919,3162.954,145.703,3.725
lesions:D1_3W_Ev_3_July_edited,3,621,207,0.045,255,70.284,30.561,6.985,95.898
leaf:D1_3W_Ev_A_July,1,521108,521108,23.95,254.806,8290.841,3263.042,203.336,3.438
lesions:D1_3W_Ev_A_July,14,148088,10577.714,12.342,255,489.186,162.114,19.831,48.082
leaf:D1_4F_Ev_1_July,1,418446,418446,14.704,254.996,9608.291,3873.834,137.534,176.584
lesions:D1_4F_Ev_1_July,165,107970,654.364,8.543,254.996,88.379,26.037,8.212,77.193
leaf:D1_4F_Ev_2_July,1,586426,586426,18.615,255,9891.396,4230.85,176.48,178.065
lesions:D1_4F_Ev_2_July,75,11341,151.213,0.633,255,47.827,15.707,6.987,90.487
leaf:D1_4F_Ev_3_July,2,211359,105679.5,14.202,254.476,3937.328,1137.602,76.238,92.805
lesions:D1_4F_Ev_3_July,78,82041,1051.808,10.498,255,111.701,34.808,7.897,71.944
leaf:D1_4F_Ev_A_July,3,664348,221449.333,23.646,254.412,3207.579,1284.001,88.019,92.354
lesions:D1_4F_Ev_A_July,66,268935,4074.773,18.297,255,189.134,48.435,9.448,73.586
leaf:D1_4W_Ev_1_July,1,381735,381735,26.253,255,7738.878,3386.594,143.519,0.708
lesions:D1_4W_Ev_1_July,10,1234,123.4,0.201,255,41.613,15.271,5.834,60.3
leaf:D1_4W_Ev_2_July_edited,1,350910,350910,22.258,255,7382.03,3050.922,146.445,0.64
lesions:D1_4W_Ev_2_July_edited,16,88990,5561.875,11.87,255,361.653,137.261,17.387,83.835
leaf:D1_4W_Ev_3_July,1,269396,269396,23.399,255,5670.837,2756.065,124.455,179.687
lesions:D1_4W_Ev_3_July,8,7183,897.875,1.881,255,109.141,41.753,12.242,51.549
leaf:D1_4W_Ev_A_July,1,553880,553880,21.104,254.998,8189.725,3052.479,231.032,0.108
lesions:D1_4W_Ev_A_July,31,44688,1441.548,2.164,255,167.694,51.411,10.621,85.208
leaf:D1_5F_Ev_1_July,1,509068,509068,14.731,254.995,8686.948,2802.814,231.255,10.968
lesions:D1_5F_Ev_1_July,75,69907,932.093,2.689,254.999,130.621,30.583,10.531,60.508
leaf:D1_5F_Ev_2_July,1,428185,428185,23.052,255,8635.414,3635.753,149.95,177.37
lesions:D1_5F_Ev_2_July,33,78243,2371,8.169,255,255.832,77.915,7.894,66.3
leaf:D1_5F_Ev_3_July,1,598072,598072,26.981,255,9043.94,3657.936,208.174,2.016
lesions:D1_5F_Ev_3_July,48,29595,616.562,2.377,255,100.028,33.941,9.25,53.007
leaf:D1_5F_Ev_A_July,1,161555,161555,12.015,255,5412.186,2026.657,101.496,174.454
lesions:D1_5F_Ev_A_July,32,24363,761.344,4.335,255,116.077,34.086,8.933,95.501
leaf:D1_5W_Ev_1_July_edited,1,200633,200633,9.732,254.997,7095.708,1939.533,131.709,3.711
lesions:D1_5W_Ev_1_July_edited,2,148671,74335.5,11.831,255,3194.684,1091.288,50.127,85.826
leaf:D1_5W_Ev_2_July,1,337560,337560,14.285,255,8091.14,3015.119,142.547,1.84
lesions:D1_5W_Ev_2_July,25,6114,244.56,0.424,255,61.348,22.999,7.987,73.226
leaf:D1_5W_Ev_3_July,1,408892,408892,13.272,254.998,8509.639,2792.95,186.404,1.965
lesions:D1_5W_Ev_3_July,5,96727,19345.4,4.513,255,1125.441,211.58,29.764,45.109
leaf:D1_5W_Ev_A_July,1,260486,260486,9.75,254.998,9613.774,2030.125,163.37,173.504
lesions:D1_5W_Ev_A_July,40,53829,1345.725,3.911,255,166.995,65.555,8.616,116.416
leaf:D1_6F_Ev_1_July,1,273162,273162,9.698,254.664,9687.853,2888.571,120.406,173.934
lesions:D1_6F_Ev_1_July,26,236769,9106.5,12.824,255,373.688,125.28,10.397,98.353
leaf:D1_6F_Ev_2_July,1,438137,438137,22.422,254.999,8242.291,3339.716,167.036,2.804
lesions:D1_6F_Ev_2_July,46,19436,422.522,1.86,255,69.506,22.893,7.793,69.698
leaf:D1_6F_Ev_3_July,1,388143,388143,17.184,255,7648.831,3333.113,148.27,176.688
lesions:D1_6F_Ev_3_July,13,3575,275,0.407,255,67.846,20.629,9.982,104.102
leaf:D1_6W_Ev_1_July,1,159787,159787,13.981,255,3987.734,1940.794,104.827,4.049
lesions:D1_6W_Ev_1_July,14,24429,1744.929,7.116,255,150.02,44.899,10.465,17.456
leaf:D1_6W_Ev_2_July,1,295293,295293,18.01,255,6446.043,2825.802,133.052,1.728
lesions:D1_6W_Ev_2_July,4,919,229.75,0.181,255,76.598,25.272,9.686,76.302
leaf:D1_6W_Ev_3_July_edited,1,253690,253690,20.603,254.985,7558.827,3326.246,97.109,0.665
lesions:D1_6W_Ev_3_July_edited,13,1095,84.231,0.232,255,37.462,15.347,5.962,32.087
leaf:D1_6W_Ev_A_July,1,536117,536117,24.982,255,9354.113,3868.714,176.442,176.559
lesions:D1_6W_Ev_A_July,46,8930,194.13,0.62,255,55.979,18.611,8.768,87.375
leaf:D1_7F_Ev_2_July,1,447116,447116,8.486,254.999,10842.036,2561.441,222.252,174.955
lesions:D1_7F_Ev_2_July,44,155963,3544.614,3.725,255,208.979,38.94,9.789,97.972
leaf:D1_7F_Ev_3_July,1,427966,427966,16.417,254.999,9094.713,3587.846,151.875,0.674
lesions:D1_7F_Ev_3_July,71,124840,1758.31,6.572,255,140.717,34.209,8.807,68.778
leaf:D1_7F_Ev_A_July,1,416280,416280,16.991,255,7884.264,3091.496,171.446,175.317
lesions:D1_7F_Ev_A_July,25,160133,6405.32,14.939,255,252.646,77.625,11.67,76.842
leaf:D1_7W_Ev_1_July,1,387367,387367,29.111,255,7831.825,3396.991,145.191,179.996
lesions:D1_7W_Ev_1_July,12,5495,457.917,0.807,255,96.917,38.13,8.125,113.253
leaf:D1_7W_Ev_2_July,1,253384,253384,16.547,255,5445.839,2203.843,146.389,178.523
lesions:D1_7W_Ev_2_July,14,59114,4222.429,7.131,255,342.698,96.306,17.428,94.803
