Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Ev_A_May,1,148243,148243,46.959,255,3046.161,1211.708,155.771,177.255
lesions:D1_10F_Ev_A_May,3,88,29.333,0.035,255,18.728,6.45,5.091,68.516
leaf:D1_10F_Ev_R1_May,1,168762,168762,20.167,255,4211.769,1911.423,112.416,0.783
lesions:D1_10F_Ev_R1_May,18,31695,1760.833,14.32,255,192.421,57.144,15.448,30.928
leaf:D1_10F_Ev_R3_May,1,209432,209432,30.593,255,4740.938,2108.984,126.439,0.891
lesions:D1_10F_Ev_R3_May,25,21761,870.44,7.287,254.433,105.277,34.941,14.188,86.999
leaf:D1_10F_Ev_R4_May,1,365466,365466,32.208,255,6557.121,3053.011,152.415,1.275
lesions:D1_10F_Ev_R4_May,9,2938,326.444,0.515,255,64.711,21.545,9.298,63.246
leaf:D1_10F_Ev_R5_May,1,344956,344956,40.385,255,5419.506,2318.636,189.427,1.991
lesions:D1_10F_Ev_R5_May,3,549,183,0.097,255,56.089,19.908,8.808,47.667
leaf:D1_10F_Ev_R6_May,1,235397,235397,30.038,255,3932.077,1824.455,164.277,0.032
lesions:D1_10F_Ev_R6_May,17,1948,114.588,0.715,255,46.259,14.519,7.169,79.581
leaf:D1_10F_Ev_R8_May,1,247260,247260,30.789,255,4730.144,2155.36,146.064,4.637
lesions:D1_10F_Ev_R8_May,5,118,23.6,0.022,255,14.037,6.049,2.797,56.262
leaf:D1_10W_Ev_A_May_edited,1,560180,560180,20.653,255,9251.971,4183.511,170.489,176.919
lesions:D1_10W_Ev_A_May_edited,43,36683,853.093,2.339,255,102.103,35.122,10.079,105.733
leaf:D1_10W_Ev_R1_May,1,94598,94598,12.541,255,3517.592,1602.694,75.152,7.834
lesions:D1_10W_Ev_R1_May,7,1474,210.571,0.366,255,58.299,25.251,7.722,55.001
leaf:D1_10W_Ev_R2_May,1,265351,265351,26.917,254.99,6356.567,2685.365,125.814,177.905
lesions:D1_10W_Ev_R2_May,14,78783,5627.357,9.373,255,286.462,109.157,11.894,123.056
leaf:D1_10W_Ev_R3_May,1,394641,394641,25.852,254.946,8318.449,3598.058,139.651,1.982
lesions:D1_10W_Ev_R3_May,33,39698,1202.97,4.542,255,104.577,39.418,7.744,77.118
leaf:D1_10W_Ev_R4_May,1,185261,185261,52.012,255,4856.119,2146.112,109.911,1.068
lesions:D1_10W_Ev_R4_May,5,2071,414.2,0.647,255,99.861,37.919,9.163,119.991
leaf:D1_10W_Ev_R6_May,1,285574,285574,28.723,255,5862.66,2537.235,143.307,175.294
lesions:D1_10W_Ev_R6_May,15,16673,1111.533,2.167,255,155.942,50.958,9.914,128.345
leaf:D1_10W_Ev_R7_May,1,320313,320313,36.243,255,5918.979,2552.684,159.767,3.72
lesions:D1_10W_Ev_R7_May,14,3540,252.857,0.498,255,66.862,15.824,9.246,57.521
leaf:D1_10W_Ev_R8_May,1,179056,179056,17.456,255,4508.185,1990.259,114.549,177.977
lesions:D1_10W_Ev_R8_May,12,3237,269.75,0.645,255,62.736,21.063,9.482,91.44
leaf:D1_1F_Ev_A_May,1,703824,703824,25.594,255,9796.145,4374.1,204.873,1.959
lesions:D1_1F_Ev_A_May,1,513,513,0.039,255,98.912,33.678,19.395,6.17
leaf:D1_1W_Ev_A_May,1,224820,224820,14.146,255,5109.994,2335.278,122.576,2.885
lesions:D1_1W_Ev_A_May,10,16086,1608.6,3.581,255,232.069,62.465,13.811,61.62
leaf:D1_2F_Ev_A_may,1,274984,274984,18.853,255,3957.479,1833.967,190.909,168.219
lesions:D1_2F_Ev_A_may,8,4367,545.875,0.551,255,121.168,31.061,12.823,120.679
leaf:D1_2W_Ev_A_May,1,253435,253435,20.737,255,4968.396,2246.523,143.637,1.544
lesions:D1_2W_Ev_A_May,4,155,38.75,0.039,255,23.349,8.125,5.875,102.043
leaf:D1_3F_Ev_A_May,1,398270,398270,13.219,255,7892.4,3548.986,142.884,2.825
lesions:D1_3F_Ev_A_May,1,21,21,0.002,255,15.899,6.629,4.034,164.182
leaf:D1_3W_Ev_A_May,1,392795,392795,27.838,255,7042.889,3312.368,150.986,1.449
lesions:D1_3W_Ev_A_May,4,327,81.75,0.054,255,35.006,12.478,7.999,93.222
leaf:D1_5F_EV_A_May,1,131409,131409,22.178,255,3251.217,1617.147,103.463,178.154
lesions:D1_5F_EV_A_May,9,16995,1888.333,8.736,255,219.24,63.532,25.407,104.203
leaf:D1_5W_Ev_A_May,1,482539,482539,26.56,255,8061.354,3330.321,184.483,176.49
lesions:D1_5W_Ev_A_May,1,27,27,0.003,255,18.728,6.614,5.198,153.088
leaf:D1_6F_EV_A_May,1,174489,174489,21.646,255,4200.428,1901.928,116.811,3.378
lesions:D1_6F_EV_A_May,1,202,202,0.054,255,55.113,17.773,14.471,20.825
leaf:D1_6W_Ev_A_May,1,112750,112750,33.585,255,2656.423,1292.37,111.081,0.614
lesions:D1_6W_Ev_A_May,7,4305,615,3.102,255,107.919,37.103,13.761,86.338
leaf:D1_7W_Ev_A_May,1,121201,121201,6.294,255,6250.633,2274.668,67.842,174.724
lesions:D1_7W_Ev_A_May,25,17791,711.64,2.222,255,152.303,55.698,9.11,102.712
leaf:D1_8F_Ev_A_May,1,130410,130410,14.771,255,3488.438,1519.298,109.289,174.498
lesions:D1_8F_Ev_A_May,4,257,64.25,0.084,255,31.86,12.64,4.084,54.747
leaf:D1_8F_Ev_R1_May,1,741925,741925,29.032,255,9745.101,4145.972,227.847,91.168
lesions:D1_8F_Ev_R1_May,3,148,49.333,0.012,255,27.913,11.199,5.607,96.725
leaf:D1_8F_Ev_R2_May,1,410429,410429,47.854,255,7543.229,3396.245,153.868,1.068
lesions:D1_8F_Ev_R2_May,1,35,35,0.005,255,21.556,7.35,6.063,38.512
leaf:D1_8W_Ev_R1_May,1,300797,300797,20.825,254.987,6778.608,2824.616,135.589,177.053
lesions:D1_8W_Ev_R1_May,20,4083,204.15,0.623,255,53.591,17.6,8.405,80.237
leaf:D1_8W_Ev_R2_May,2,162846,81423,19.006,255,2524.514,964.542,63.026,9.153
lesions:D1_8W_Ev_R2_May,23,1304,56.696,0.243,254.886,29.07,9.514,5.607,81.576
leaf:D1_9F_Ev_A_May,1,133076,133076,11.451,255,4124.531,1929.971,87.793,0.32
lesions:D1_9F_Ev_A_May,3,890,296.667,0.461,255,87.774,24.3,13.937,35.546
leaf:D1_9F_Ev_R1_May,1,520118,520118,23.726,255,7563.61,3542.261,186.953,1.82
lesions:D1_9F_Ev_R1_May,11,2434,221.273,0.272,255,76.995,27.963,8.869,92.316
leaf:D1_9F_Ev_R2_May,1,465026,465026,23.611,255,7265.707,3245.669,182.424,2.568
lesions:D1_9F_Ev_R2_May,23,29524,1283.652,3.414,255,191.861,71.372,12.035,78.262
leaf:D1_9F_Ev_R3_May,1,329839,329839,15.372,255,6869.579,3181.166,132.016,4.634
lesions:D1_9F_Ev_R3_May,19,1075,56.579,0.111,255,26.945,9.547,5.863,74.065
leaf:D1_9F_Ev_R4_May,2,382851,191425.5,24.882,255,3813.039,1555.536,91.757,6.495
lesions:D1_9F_Ev_R4_May,21,6290,299.524,0.666,255,78.671,25.611,8.588,38.579
leaf:D1_9W_Ev_A_May,2,282627,141313.5,19.202,255,2911.413,1242.569,104.513,145.984
lesions:D1_9W_Ev_A_May,8,2883,360.375,0.35,255,60.325,19.65,11.606,116.116
leaf:D1_9W_Ev_R1_May,1,238839,238839,16.037,255,6991.915,3129.336,97.177,178.169
lesions:D1_9W_Ev_R1_May,15,9364,624.267,1.863,255,106.676,28.86,11.456,100.929
leaf:D1_9W_Ev_R2_May,1,678686,678686,45.922,255,9089.076,4020.673,214.922,88.988
lesions:D1_9W_Ev_R2_May,13,2683,206.385,0.252,255,42.724,14.388,7.01,58.838
leaf:D1_9W_Ev_R8_May,1,279152,279152,37.153,255,5547.222,2413.534,147.264,176.148
lesions:D1_9W_Ev_R8_May,7,546,78,0.09,255,35.346,13.343,6.601,117.719
leaf:D1_9W_Ev_S1_May,1,127935,127935,10.71,255,5330.234,2243.079,72.62,175.383
lesions:D1_9W_Ev_S1_May,17,2735,160.882,0.573,255,50.807,18.46,7.412,93.774
leaf:D2_10F_Ev_A_May,1,229340,229340,20.4,255,6790.043,3213.117,90.879,178.454
lesions:D2_10F_Ev_A_May,7,2043,291.857,0.475,255,84.273,31.63,8.356,75.091
leaf:D2_10F_Ev_R1_May,1,277674,277674,26.047,255,5907.523,2625.777,134.644,179.689
lesions:D2_10F_Ev_R1_May,5,1916,383.2,0.477,255,92.14,23.649,10.096,84.502
leaf:D2_10F_Ev_R2_May,1,369639,369639,23.866,254.993,7547.137,3087.077,152.455,3.202
lesions:D2_10F_Ev_R2_May,54,32819,607.759,3.826,255,83.338,22.461,11.487,77.247
leaf:D2_10F_Ev_R3_May,1,464963,464963,33.685,254.999,7949.135,3281.393,180.414,179.738
lesions:D2_10F_Ev_R3_May,8,2419,302.375,0.33,255,58.497,19.022,8.627,49.289
leaf:D2_10F_Ev_R4_May,1,416125,416125,29.632,255,7286.962,3229.554,164.056,1.274
lesions:D2_10F_Ev_R4_May,10,6311,631.1,0.929,255,119.773,34.536,13.752,73.043
leaf:D2_10F_Ev_R5_May_edited,1,352903,352903,30.69,255,6481.683,3197.454,140.527,177.875
lesions:D2_10F_Ev_R5_May_edited,14,1848,132,0.307,255,46.274,15.636,7.867,71.961
leaf:D2_10F_Ev_R6_May,1,251538,251538,14.932,254.981,7075.975,2996.119,106.894,4.242
lesions:D2_10F_Ev_R6_May,14,1387,99.071,0.161,255,41.857,14.922,6.484,91.232
leaf:D2_10W_Ev_A_May,1,468433,468433,35.61,255,8903.149,4032.861,147.892,0.291
lesions:D2_10W_Ev_A_May,3,646,215.333,0.1,255,66.622,20.59,12.542,122.793
leaf:D2_10W_Ev_R1_May,1,474139,474139,15.278,255,8787.098,3791.225,159.234,5.926
lesions:D2_10W_Ev_R1_May,5,2084,416.8,0.109,255,104.043,39.105,13.442,68.32
leaf:D2_10W_Ev_R2_May,1,208843,208843,25.436,255,5514.362,2480.245,107.21,1.618
lesions:D2_10W_Ev_R2_May,6,360,60,0.096,255,30.304,11.29,5.183,42.545
leaf:D2_10W_Ev_R3_May,1,184864,184864,32.666,255,4090.112,1817.183,129.528,0.712
lesions:D2_10W_Ev_R3_May,2,223,111.5,0.082,255,41.577,15.373,5.336,11.146
leaf:D2_10W_Ev_R4_May,1,361206,361206,51.74,254.991,8769.463,3770.814,121.964,1.307
lesions:D2_10W_Ev_R4_May,13,11873,913.308,1.947,255,122.036,42.984,11.767,68.923
leaf:D2_10W_Ev_R5_May,1,248500,248500,15.884,254.999,7799.863,3429.12,92.269,177.335
lesions:D2_10W_Ev_R5_May,1,242,242,0.032,255,97.012,42.899,7.182,3.309
leaf:D2_10W_Ev_R6_May,1,258836,258836,17.613,254.99,7238.588,3148.594,104.669,1.81
lesions:D2_10W_Ev_R6_May,22,6561,298.227,1.195,255,78.848,27.273,9.553,87.308
leaf:D2_10W_Ev_S1_May,1,346783,346783,33.102,254.991,7842.758,3443.018,128.242,1.35
lesions:D2_10W_Ev_S1_May,23,12070,524.783,2.057,255,89.288,27.074,9.821,84.499
leaf:D2_10W_Ev_S2_May,1,325358,325358,14.995,254.998,6713.486,2951.286,140.365,5.914
lesions:D2_10W_Ev_S2_May,11,3060,278.182,0.286,255,65.315,18.55,11.528,86.083
leaf:D2_1F_Ev_A_May,1,510471,510471,39.112,254.552,7866.748,3223.903,201.604,1.865
lesions:D2_1F_Ev_A_May,11,1625,147.727,0.143,255,45.296,15.484,7.446,93.079
leaf:D2_1W_Ev_A_May,1,421777,421777,28.641,255,6956.126,3273.134,164.07,179.571
lesions:D2_1W_Ev_A_May,5,356,71.2,0.063,255,29.916,10.874,6.002,68.119
leaf:D2_2F_Ev_A_May,1,178974,178974,24.512,255,5345.911,2535.117,89.888,1.64
lesions:D2_2F_Ev_A_May,1,634,634,0.204,255,111.054,36.179,22.312,95.594
leaf:D2_2W_Ev_A_May,1,532458,532458,40.009,255,9154.422,4018.271,168.716,89.934
lesions:D2_2W_Ev_A_May,3,485,161.667,0.061,255,56.48,23.306,7.622,83.519
leaf:D2_3F_Ev_A_May,1,74525,74525,11.264,255,3017.921,1465.105,64.765,177.526
lesions:D2_3F_Ev_A_May,2,171,85.5,0.121,255,35.92,13.068,8.454,52.826
leaf:D2_3W_Ev_A_May,1,265205,265205,20.552,255,7123.229,3222.967,104.77,179.627
lesions:D2_3W_Ev_A_May,20,3309,165.45,0.8,255,60.318,22.07,7.3,95.632
leaf:D2_4F_Ev_A_May,1,182272,182272,16.433,254.699,5690.667,2247.572,103.256,179.752
lesions:D2_4F_Ev_A_May,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D2_5W_Ev_A_May,1,340456,340456,23.914,255,8321.766,3916.632,110.677,179.097
lesions:D2_5W_Ev_A_May,18,3651,202.833,0.658,255,58.122,21.779,8.28,127.234
leaf:D2_6F_Ev_A_May,1,193642,193642,21.712,252.561,6373.649,2110.693,116.811,179.178
lesions:D2_6F_Ev_A_May,2,130,65,0.043,255,29.799,10.89,5.828,130.113
leaf:D2_6W_Ev_A_May,1,517502,517502,23.617,255,9246.404,3932.003,167.575,93.237
lesions:D2_6W_Ev_A_May,5,159,31.8,0.012,255,17.928,6.386,4.975,62.053
leaf:D2_7F_Ev_A_May,1,190460,190460,18.379,255,4976.06,2247.099,107.917,4.511
lesions:D2_7F_Ev_A_May,24,6459,269.125,1.268,255,57.256,19.87,8.646,39.53
leaf:D2_8F_Ev_A_May,1,904822,904822,24.12,255,10982.997,4724.561,243.844,91.844
lesions:D2_8F_Ev_A_May,1,224,224,0.013,255,59.598,20.464,13.937,89.191
leaf:D2_8F_Ev_R2_May,1,905671,905671,26.918,255,11014.211,4729.843,243.8,91.849
lesions:D2_8F_Ev_R2_May,1,224,224,0.013,255,59.598,20.464,13.937,89.191
leaf:D2_8W_Ev_R1_May,1,296180,296180,15.049,255,7430.466,3395.405,111.064,2.745
lesions:D2_8W_Ev_R1_May,14,12113,865.214,1.512,255,104.566,39.365,11.14,83.398
leaf:D2_8W_Ev_R2_May,1,130466,130466,10.19,254.777,8731.182,2004.79,82.859,177.748
lesions:D2_8W_Ev_R2_May,21,45154,2150.19,8.868,255,187.063,69.37,11.044,106.733
leaf:D2_9E_Ev_R2_May,1,248177,248177,26.297,255,6978.812,3147.366,100.398,89.198
lesions:D2_9E_Ev_R2_May,32,37277,1164.906,8.868,255,113.313,38.274,7.956,65.576
leaf:D2_9E_Ev_R3_May,1,119813,119813,38.671,254.711,4161.776,1852.778,82.336,1.785
lesions:D2_9E_Ev_R3_May,20,3694,184.7,1.487,255,54.789,18.748,8.059,68.428
leaf:D2_9F_Ev_R1_May,1,259207,259207,23.687,255,6765.111,3152.184,104.7,179.254
lesions:D2_9F_Ev_R1_May,3,327,109,0.078,255,37.57,11.847,8.333,124.499
leaf:D2_9F_Ev_R3_May,1,251005,251005,15.312,255,5789.336,2563.856,124.652,173.717
lesions:D2_9F_Ev_R3_May,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN
leaf:D2_9W_Ev_A_May,1,57106,57106,22.813,255,2467.134,1076.698,67.53,1.437
lesions:D2_9W_Ev_A_May,9,1310,145.556,1.25,255,40.816,13.012,8.623,14.325
leaf:D2_9W_Ev_R4_May_edited,1,445697,445697,33.66,255,7712.429,3378.574,167.964,175.682
lesions:D2_9W_Ev_R4_May_edited,5,829,165.8,0.072,255,59.924,24.581,7.121,89.595
leaf:D3_10F_Ev_A_May,1,329649,329649,33.583,255,6676.376,2843.425,147.611,0.303
lesions:D3_10F_Ev_A_May,19,1579,83.105,0.288,255,38.055,12.731,6.381,67.867
leaf:D3_10F_Ev_R2_may,1,677977,677977,32.919,255,8061.229,3605.41,239.426,92.282
lesions:D3_10F_Ev_R2_may,25,4633,185.32,0.436,255,44.978,16.106,7.403,72.432
leaf:D3_10F_Ev_R3_May,1,708522,708522,30.953,255,9579.572,4173.788,216.139,92.7
lesions:D3_10F_Ev_R3_May,15,4042,269.467,0.291,255,55.829,18.379,8.748,98.651
leaf:D3_10F_Ev_R4_May,1,607957,607957,37.583,255,9168.678,4064.232,190.46,87.738
lesions:D3_10F_Ev_R4_May,3,2089,696.333,0.179,255,136.435,38.03,19.92,111.808
leaf:D3_10F_Ev_R5_May,1,471744,471744,21.4,255,8145.322,3562.96,168.58,91.757
lesions:D3_10F_Ev_R5_May,33,12160,368.485,1.337,255,77.913,25.348,8.803,84.51
leaf:D3_10F_Ev_R6_May,1,157698,157698,18.354,255,5138.607,2402.566,83.572,178.866
lesions:D3_10F_Ev_R6_May,35,10081,288.029,3.931,255,77.298,27.767,6.713,101.823
leaf:D3_10F_Ev_R7_May,1,427333,427333,46.725,255,7367.967,3080.554,176.623,0.69
lesions:D3_10F_Ev_R7_May,98,50282,513.082,7.546,255,82.311,25.256,8.45,79.904
leaf:D3_10F_Ev_R8_May,1,835285,835285,33.021,255,10157.236,4274.672,248.795,90.663
lesions:D3_10F_Ev_R8_May,81,13546,167.235,0.962,255,50.176,16.745,7.667,80.363
leaf:D3_10W_Ev_A_May,1,441517,441517,29.812,254.999,6341.53,2765.586,203.269,177.659
lesions:D3_10W_Ev_A_May,13,1546,118.923,0.205,255,38.208,13.728,6.342,76.944
leaf:D3_10W_Ev_R1_May,1,285987,285987,31.372,255,5567.717,2384.636,152.698,178.733
lesions:D3_10W_Ev_R1_May,41,15451,376.854,3.41,255,87.811,26.888,7.423,105.392
leaf:D3_10W_Ev_R2_May,1,612356,612356,21.722,255,9485.594,3776.391,206.461,92.576
lesions:D3_10W_Ev_R2_May,15,3402,226.8,0.193,255,47.139,14.977,8.124,80.566
leaf:D3_10W_Ev_R3_May,1,676699,676699,23.815,255,9198.584,4093.421,210.484,92.816
lesions:D3_10W_Ev_R3_May,3,785,261.667,0.053,255,60.77,20.524,9.88,70.263
leaf:D3_10W_Ev_R5_May,1,456334,456334,32.625,255,7536.591,3098.022,187.546,178.538
lesions:D3_10W_Ev_R5_May,12,3205,267.083,0.343,255,87.616,40.557,5.937,103.363
leaf:D3_10W_Ev_R6_May,1,214633,214633,14.306,255,6972.986,2519.45,108.468,91.864
lesions:D3_10W_Ev_R6_May,21,31124,1482.095,3.884,255,88.599,35.336,7.04,82.371
leaf:D3_10W_Ev_R7_May,1,449779,449779,46.383,255,6243.464,2643.488,216.637,1.127
lesions:D3_10W_Ev_R7_May,23,4678,203.391,0.65,255,52.251,18.736,7.222,84.409
leaf:D3_10W_Ev_R8_May_edited,1,101728,101728,14.981,255,4086.498,1233.064,105.042,177.567
lesions:D3_10W_Ev_R8_May_edited,14,46116,3294,8.93,255,297.775,78.096,13.904,76.861
leaf:D3_1F_Ev_A_May,1,208828,208828,10.822,255,5411.246,2357.446,112.787,172.008
lesions:D3_1F_Ev_A_May,49,4591,93.694,0.493,255,31.737,10.573,5.825,86.113
leaf:D3_1W_Ev_A_May,1,166609,166609,29.396,255,3924.337,1648.623,128.673,1.474
lesions:D3_1W_Ev_A_May,12,1449,120.75,0.522,255,45.493,17.645,7.658,79.15
leaf:D3_2F_Ev_A_May,1,256809,256809,29.181,254.906,5406.927,2200.251,148.61,178.524
lesions:D3_2F_Ev_A_May,7,1663,237.571,0.44,255,64.498,22.663,11.153,88.096
leaf:D3_2W_Ev_A_May,1,410076,410076,23.918,254.981,6974.15,2941.144,177.524,2.951
lesions:D3_2W_Ev_A_May,2,973,486.5,0.128,255,98.154,31.944,16.609,59.49
