Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Major,Minor,Angle
leaf:D1_10F_Ev_2_LateAug,1,34537,34537,9.378,255,2822.736,747.993,58.789,176.101
lesions:D1_10F_Ev_2_LateAug,1,33014,33014,15.221,255,2823.423,736.555,57.069,175.991
leaf:D1_10F_Ev_3_LateAug,1,83763,83763,13.754,255,3235.81,1431.589,74.498,175.313
lesions:D1_10F_Ev_3_LateAug,1,81034,81034,36.249,255,3047.81,1420.492,72.634,175.31
leaf:D1_10W_Ev_1_LateAug_edited,1,70246,70246,5.572,249.479,5443.471,1997.962,44.766,88.849
lesions:D1_10W_Ev_1_LateAug_edited,5,5548,1109.6,3.614,255,151.26,62.681,11.512,75.207
leaf:D1_10W_Ev_3_LateAug,1,114987,114987,9.38,255,6047.312,1927.465,75.958,88.782
lesions:D1_10W_Ev_3_LateAug,24,88486,3686.917,20.867,255,304.835,87.504,8.565,63.453
leaf:D1_1F_Ev_1_LateAug,1,43858,43858,10.314,254.913,3775.124,1326.188,42.107,178.554
lesions:D1_1F_Ev_1_LateAug,55,12493,227.145,6.259,255,57.225,20.811,5.585,78.515
leaf:D1_1F_Ev_A_LateAug,2,138588,69294,13.405,255,3294.481,1412.826,62.447,177.179
lesions:D1_1F_Ev_A_LateAug,17,114221,6718.882,16.467,255,425.869,166.226,14.248,98.215
leaf:D1_1W_Ev_1_LateAug,1,65122,65122,8.992,255,2676.222,1210.549,68.494,91.164
lesions:D1_1W_Ev_1_LateAug,4,45073,11268.25,40.845,255,736.72,257.88,24.875,45.62
leaf:D1_1W_Ev_2_LateAug,1,140451,140451,12.828,254.964,6581.672,2364.663,75.625,89.599
lesions:D1_1W_Ev_2_LateAug,5,32169,6433.8,5.763,255,647.83,244.964,12.067,107.4
leaf:D1_1W_Ev_3_LateAug,1,148878,148878,14.465,255,4651.332,1890.009,100.294,87.232
lesions:D1_1W_Ev_3_LateAug,1,144109,144109,26.086,255,4500.379,1842.542,99.583,87.395
leaf:D1_1W_Ev_4_LateAug_edited,1,193815,193815,10.947,255,8795.052,3814.122,64.7,87.83
lesions:D1_1W_Ev_4_LateAug_edited,15,108585,7239,9.356,255,543.383,208.402,10.762,49.153
leaf:D1_2F_Ev_1_LateAug,1,96704,96704,17.164,255,3941.166,1857.133,66.3,176.719
lesions:D1_2F_Ev_1_LateAug,20,55331,2766.55,22.709,255,214.396,84.671,9.742,82.398
leaf:D1_2F_Ev_2_LateAug,1,134555,134555,22.284,255,4823.484,2071.219,82.715,179.064
lesions:D1_2F_Ev_2_LateAug,2,131380,65690,55.88,255,2360.16,1029.704,43.403,178.995
leaf:D1_2F_Ev_3_LateAug,1,66352,66352,13.657,254.981,3429.578,1701.58,49.649,177.869
lesions:D1_2F_Ev_3_LateAug,13,51227,3940.538,37.079,255,271.657,128.083,11.55,79.13
leaf:D1_2F_Ev_A_LateAug,1,30082,30082,9.602,255,1802.958,715.64,53.521,168.562
lesions:D1_2F_Ev_A_LateAug,1,28239,28239,21.894,255,1769.627,693.346,51.857,168.432
