site,plot,treatment,sp,ID,seeds,age,background,density_level,density,fungicide,seeds1,log_seeds,focal,foc,bg,plotf
D3,7,fungicide,Ev,3,16.96183218435225,seedling,Ev seedling,high,19,1,17.96183218435225,2.888249072389851,Ev seedling,s,s,D37f
D3,7,fungicide,Ev,A,63.188284703938855,adult,Ev seedling,high,19,1,64.18828470393885,4.1618207127971285,Ev adult,a,s,D37f
D3,7,water,Ev,1,15.360285797846888,seedling,Ev seedling,high,19,0,16.36028579784689,2.794856800328059,Ev seedling,s,s,D37w
D3,7,water,Ev,2,27.080693444545226,seedling,Ev seedling,high,19,0,28.080693444545226,3.3350822741712483,Ev seedling,s,s,D37w
D3,7,water,Ev,3,62.09632125859429,seedling,Ev seedling,high,19,0,63.09632125859429,4.1446624676668895,Ev seedling,s,s,D37w
D3,7,water,Ev,A,137.9513819285301,adult,Ev seedling,high,19,0,138.9513819285301,4.934124101648449,Ev adult,a,s,D37w
D3,8,fungicide,Ev,1,7.498148991366016,seedling,Ev adult,low,3,1,8.498148991366016,2.139848374060228,Ev seedling,s,a,D38f
D3,8,fungicide,Ev,2,17.107427310398194,seedling,Ev adult,low,3,1,18.107427310398194,2.896322202742586,Ev seedling,s,a,D38f
D3,8,fungicide,Ev,3,45.93526226749473,seedling,Ev adult,low,3,1,46.93526226749473,3.8487692536607345,Ev seedling,s,a,D38f
D3,8,fungicide,Ev,A,59.548406552790304,adult,Ev adult,low,3,1,60.548406552790304,4.103443153431359,Ev adult,a,a,D38f
D3,8,water,Ev,1,37.27235226776117,seedling,Ev adult,low,3,0,38.27235226776117,3.64472776260649,Ev seedling,s,a,D38w
D3,8,water,Ev,2,16.16105899109957,seedling,Ev adult,low,3,0,17.16105899109957,2.842642804923702,Ev seedling,s,a,D38w
D3,8,water,Ev,3,50.66710386398784,seedling,Ev adult,low,3,0,51.66710386398784,3.944821290098971,Ev seedling,s,a,D38w
D3,8,water,Ev,A,244.7454068832286,adult,Ev adult,low,3,0,245.7454068832286,5.504296068652118,Ev adult,a,a,D38w
D3,9,fungicide,Ev,1,9.24529050391732,seedling,Ev adult,medium,5,1,10.24529050391732,2.3268181369664784,Ev seedling,s,a,D39f
D3,9,fungicide,Ev,2,46.22645251958661,seedling,Ev adult,medium,5,1,47.22645251958661,3.854954170343617,Ev seedling,s,a,D39f
D3,9,fungicide,Ev,3,39.9658620996111,seedling,Ev adult,medium,5,1,40.9658620996111,3.712739088157183,Ev seedling,s,a,D39f
D3,9,fungicide,Ev,A,139.18894049992062,adult,Ev adult,medium,5,1,140.18894049992062,4.9429910877509196,Ev adult,a,a,D39f
D3,9,water,Ev,2,35.598008318232836,seedling,Ev adult,medium,5,0,36.598008318232836,3.599993821392011,Ev seedling,s,a,D39w
D3,9,water,Ev,A,27.881466637797907,adult,Ev adult,medium,5,0,28.881466637797907,3.363200096592437,Ev adult,a,a,D39w
