process_date,site,plot,treatment,sp,plant,flowers,stem_seed_weight.g,biomass_weight.g,process_notes,ID,seeds_collected,seeds_green,processing_notes,background,density,plant_growth,age,focal,foc,bg,fungicide,plotf,plot_biomass
11/23/19,D1,2,fungicide,Mv,1,17,0.7512,23.88,NA,1,NA,NA,NA,Mv,7,3.1730412885244013,seedling,Mv,m,m,1,D12f,264.63
11/23/19,D1,2,fungicide,Mv,2,18,0.311,16.74,NA,2,NA,NA,NA,Mv,7,2.817801065061329,seedling,Mv,m,m,1,D12f,271.77
11/26/19,D1,2,fungicide,Mv,3,53,1.5733,52.01,NA,3,NA,NA,NA,Mv,7,3.9514360077849813,seedling,Mv,m,m,1,D12f,236.5
11/26/19,D1,3,fungicide,Mv,1,19,0.3331,9.62,NA,1,NA,NA,NA,Mv,19,2.263844264677615,seedling,Mv,m,m,1,D13f,194.76999999999998
11/26/19,D1,3,fungicide,Mv,2,28,0.5816,15.15,NA,2,NA,NA,NA,Mv,19,2.7180005319553784,seedling,Mv,m,m,1,D13f,189.23999999999998
11/26/19,D1,3,fungicide,Mv,3,3,0.1276,5.03,NA,3,NA,NA,NA,Mv,19,1.6154199841116479,seedling,Mv,m,m,1,D13f,199.35999999999999
11/26/19,D1,4,fungicide,Mv,1,9,0.1534,11.21,NA,1,NA,NA,NA,Mv,67,2.4168062370840686,seedling,Mv,m,m,1,D14f,595.36
11/23/19,D1,4,fungicide,Mv,2,14,0.1799,7.06,NA,2,NA,NA,NA,Mv,67,1.9544450515051506,seedling,Mv,m,m,1,D14f,599.5100000000001
11/19/19,D1,4,fungicide,Mv,3,6,0.1496,4.21,NA,3,NA,NA,NA,Mv,67,1.43746264769429,seedling,Mv,m,m,1,D14f,602.36
11/9/19,D1,5,fungicide,Mv,1,42,0.7829,21.06,NA,1,NA,NA,NA,Ev seedling,7,3.0473755067058295,seedling,Mv,m,s,1,D15f,9.16
11/16/19,D1,5,fungicide,Mv,2,21,0.7255,20.42,NA,2,NA,NA,NA,Ev seedling,7,3.01651481273652,seedling,Mv,m,s,1,D15f,9.16
11/23/19,D1,5,fungicide,Mv,3,17,0.5807,14.86,NA,3,NA,NA,NA,Ev seedling,7,2.698673039289613,seedling,Mv,m,s,1,D15f,9.16
11/23/19,D1,6,fungicide,Mv,1,22,0.1791,11.56,NA,1,NA,NA,NA,Ev seedling,11,2.4475508632442313,seedling,Mv,m,s,1,D16f,13.24
12/7/19,D1,6,fungicide,Mv,2,23,0.2355,8.7,NA,2,NA,NA,NA,Ev seedling,11,2.163323025660538,seedling,Mv,m,s,1,D16f,13.24
11/16/19,D1,6,fungicide,Mv,3,23,0.4381,9.16,NA,3,NA,NA,NA,Ev seedling,11,2.214846178686039,seedling,Mv,m,s,1,D16f,13.24
11/23/19,D1,7,fungicide,Mv,1,55,1.011,18.54,NA,1,NA,NA,NA,Ev seedling,19,2.919930560137709,seedling,Mv,m,s,1,D17f,26.86
11/23/19,D1,7,fungicide,Mv,2,28,0.7188,12.99,NA,2,NA,NA,NA,Ev seedling,19,2.5641798306825083,seedling,Mv,m,s,1,D17f,26.86
11/23/19,D1,7,fungicide,Mv,3,23,0.3947,8.73,NA,3,NA,NA,NA,Ev seedling,19,2.166765369851511,seedling,Mv,m,s,1,D17f,26.86
11/19/19,D1,8,fungicide,Mv,1,23,1.9236,42.77,NA,1,NA,NA,NA,Ev adult,3,3.7558369222388173,seedling,Mv,m,a,1,D18f,23.18
12/7/19,D1,8,fungicide,Mv,2,33,1.5251,42.68,NA,2,NA,NA,NA,Ev adult,3,3.7537304264335525,seedling,Mv,m,a,1,D18f,23.18
11/23/19,D1,8,fungicide,Mv,3,39,0.8958,38.42,NA,3,NA,NA,NA,Ev adult,3,3.6485781573404106,seedling,Mv,m,a,1,D18f,23.18
11/23/19,D1,9,fungicide,Mv,1,61,1.394,34.39,NA,1,NA,NA,NA,Ev adult,5,3.537765824444175,seedling,Mv,m,a,1,D19f,53.96
11/9/19,D1,9,fungicide,Mv,2,56,1.0423,29.62,NA,2,NA,NA,NA,Ev adult,5,3.3884498088396526,seedling,Mv,m,a,1,D19f,53.96
11/26/19,D1,9,fungicide,Mv,3,22,0.6322,11.22,NA,3,NA,NA,NA,Ev adult,5,2.4176979000945504,seedling,Mv,m,a,1,D19f,53.96
