month,site,plot,treatment,sp,ID,focal,age,leaf_area.pix,lesion_area.pix,leaf_count
early_aug,D1,10,fungicide,Mv,Edge,0,seedling,8291613,2205,20
early_aug,D1,10,water,Mv,Edge,0,seedling,7516546,19213,20
early_aug,D1,1,fungicide,Mv,Edge,0,seedling,4833052,315,20
early_aug,D1,1,water,Mv,Edge,0,seedling,5912602,211,20
early_aug,D1,2,fungicide,Mv,Edge,0,seedling,7543917,22507,20
early_aug,D1,2,water,Mv,Edge,0,seedling,7779344,7075,18
early_aug,D1,3,fungicide,Mv,Edge,0,seedling,7459140,3605,20
early_aug,D1,3,water,Mv,Edge,0,seedling,7862856,5062,20
early_aug,D1,4,fungicide,Mv,Edge,0,seedling,8057968,12645,19
early_aug,D1,4,water,Mv,Edge,0,seedling,5544094,2256,21
early_aug,D1,5,fungicide,Mv,Edge,0,seedling,6352446,209475,19
early_aug,D1,5,water,Mv,Edge,0,seedling,5532626,19,20
early_aug,D1,6,water,Mv,Edge,0,seedling,6935574,13775,20
early_aug,D1,7,fungicide,Mv,Edge,0,seedling,6071175,1042,20
early_aug,D1,7,water,Mv,Edge,0,seedling,7897369,19699,18
early_aug,D1,8,fungicide,Mv,Edge,0,seedling,7595229,41149,19
early_aug,D1,8,water,Mv,Edge,0,seedling,7758445,9857,18
early_aug,D1,9,fungicide,Mv,Edge,0,seedling,5616124,24221,20
early_aug,D1,9,water,Mv,Edge,0,seedling,6915600,46000,20
early_aug,D2,10,fungicide,Mv,Edge,0,seedling,4688681,820,20
early_aug,D2,10,water,Mv,Edge,0,seedling,6774860,124588,20
early_aug,D2,1,fungicide,Mv,Edge,0,seedling,7931272,14106,19
early_aug,D2,1,water,Mv,Edge,0,seedling,7157252,16399,21
early_aug,D2,2,fungicide,Mv,Edge,0,seedling,5135246,1232,20
early_aug,D2,2,water,Mv,Edge,0,seedling,6914549,127234,20
early_aug,D2,3,fungicide,Mv,Edge,0,seedling,6970663,70121,20
early_aug,D2,3,water,Mv,Edge,0,seedling,5410253,444,22
early_aug,D2,4,fungicide,Mv,Edge,0,seedling,8700645,52129,20
early_aug,D2,4,water,Mv,Edge,0,seedling,8508844,73430,21
early_aug,D2,5,fungicide,Mv,Edge,0,seedling,7638062,37548,20
early_aug,D2,5,water,Mv,Edge,0,seedling,7442285,5204,21
early_aug,D2,6,fungicide,Mv,Edge,0,seedling,6476629,152397,19
early_aug,D2,6,water,Mv,Edge,0,seedling,6462385,134245,20
early_aug,D2,7,fungicide,Mv,Edge,0,seedling,7358376,8101,20
early_aug,D2,7,water,Mv,Edge,0,seedling,6247673,26490,20
early_aug,D2,8,fungicide,Mv,Edge,0,seedling,7907937,69574,19
early_aug,D2,8,water,Mv,Edge,0,seedling,7312979,68910,20
early_aug,D2,9,fungicide,Mv,Edge,0,seedling,7336594,4840,18
early_aug,D2,9,water,Mv,Edge,0,seedling,7940520,29287,21
early_aug,D3,10,fungicide,Mv,Edge,0,seedling,4963803,5978,19
early_aug,D3,10,water,Mv,Edge,0,seedling,4795400,6049,20
early_aug,D3,1,fungicide,Mv,Edge,0,seedling,5590071,4179,19
early_aug,D3,1,water,Mv,Edge,0,seedling,5386733,24824,20
early_aug,D3,2,fungicide,Mv,Edge,0,seedling,5965995,78302,18
early_aug,D3,2,water,Mv,Edge,0,seedling,7444994,78630,20
early_aug,D3,3,fungicide,Mv,Edge,0,seedling,5663417,87226,20
early_aug,D3,3,water,Mv,Edge,0,seedling,7086971,54585,20
early_aug,D3,4,fungicide,Mv,Edge,0,seedling,6106772,74030,19
early_aug,D3,4,water,Mv,Edge,0,seedling,7187083,28091,20
early_aug,D3,5,fungicide,Mv,Edge,0,seedling,4386657,34423,20
early_aug,D3,5,water,Mv,Edge,0,seedling,5711022,25461,19
early_aug,D3,6,fungicide,Mv,Edge,0,seedling,5949498,23961,20
early_aug,D3,6,water,Mv,Edge,0,seedling,7425482,66286,19
early_aug,D3,7,fungicide,Mv,Edge,0,seedling,7901306,29828,18
early_aug,D3,7,water,Mv,Edge,0,seedling,5597661,4013,20
early_aug,D3,8,fungicide,Mv,Edge,0,seedling,6877995,25902,18
early_aug,D3,8,water,Mv,Edge,0,seedling,6472384,31443,19
early_aug,D3,9,fungicide,Mv,Edge,0,seedling,5586972,11276,18
early_aug,D3,9,water,Mv,Edge,0,seedling,4405301,1807,20
early_aug,D4,10,fungicide,Mv,Edge,0,seedling,4002283,55123,20
early_aug,D4,10,water,Mv,Edge,0,seedling,6531615,177950,20
early_aug,D4,1,fungicide,Mv,Edge,0,seedling,4204201,221507,20
early_aug,D4,1,water,Mv,Edge,0,seedling,3094822,393,20
early_aug,D4,2,fungicide,Mv,Edge,0,seedling,4449548,44795,21
early_aug,D4,2,water,Mv,Edge,0,seedling,6171843,108442,20
early_aug,D4,3,fungicide,Mv,Edge,0,seedling,5256679,335737,20
early_aug,D4,3,water,Mv,Edge,0,seedling,4141311,289512,15
early_aug,D4,4,fungicide,Mv,Edge,0,seedling,5188852,9186,20
early_aug,D4,4,water,Mv,Edge,0,seedling,5496730,326085,20
early_aug,D4,5,fungicide,Mv,Edge,0,seedling,5425400,3290,20
early_aug,D4,5,water,Mv,Edge,0,seedling,4810136,5597,18
early_aug,D4,6,fungicide,Mv,Edge,0,seedling,4689387,179820,20
early_aug,D4,6,water,Mv,Edge,0,seedling,4931653,10412,20
early_aug,D4,7,fungicide,Mv,Edge,0,seedling,5190674,90217,20
early_aug,D4,7,water,Mv,Edge,0,seedling,3534256,302620,16
early_aug,D4,8,fungicide,Mv,Edge,0,seedling,3634479,844,20
early_aug,D4,8,water,Mv,Edge,0,seedling,3925712,110072,20
early_aug,D4,9,fungicide,Mv,Edge,0,seedling,4749827,65419,21
early_aug,D4,9,water,Mv,Edge,0,seedling,3226286,124894,20
jul,D1,10,fungicide,Mv,Edge,0,seedling,9485381,614,20
jul,D1,10,water,Mv,Edge,0,seedling,8107315,9,19
jul,D1,1,fungicide,Mv,Edge,0,seedling,4729293,1780,20
jul,D1,1,water,Mv,Edge,0,seedling,8179646,0,20
jul,D1,2,fungicide,Mv,Edge,0,seedling,8136130,10720,19
jul,D1,2,water,Mv,Edge,0,seedling,10312960,1612,20
jul,D1,3,fungicide,Mv,Edge,0,seedling,8256448,230,20
jul,D1,3,water,Mv,Edge,0,seedling,9879788,2632,19
jul,D1,4,fungicide,Mv,Edge,0,seedling,8822714,893,20
jul,D1,4,water,Mv,Edge,0,seedling,7125069,0,20
jul,D1,5,fungicide,Mv,Edge,0,seedling,8644601,7167,20
jul,D1,5,water,Mv,Edge,0,seedling,5323157,22,20
jul,D1,6,fungicide,Mv,Edge,0,seedling,6806105,64,20
jul,D1,6,water,Mv,Edge,0,seedling,8133627,1208,21
jul,D1,7,fungicide,Mv,Edge,0,seedling,7008862,127,20
jul,D1,7,water,Mv,Edge,0,seedling,8855375,6959,19
jul,D1,8,fungicide,Mv,Edge,0,seedling,8985140,33554,19
jul,D1,8,water,Mv,Edge,0,seedling,9217809,13587,18
jul,D1,9,fungicide,Mv,Edge,0,seedling,6014779,177,20
jul,D1,9,water,Mv,Edge,0,seedling,8268889,53,20
jul,D2,10,fungicide,Mv,Edge,0,seedling,4882654,2300,20
jul,D2,10,water,Mv,Edge,0,seedling,10867946,41566,20
jul,D2,1,fungicide,Mv,Edge,0,seedling,9467315,16702,21
jul,D2,1,water,Mv,Edge,0,seedling,7966565,134,20
jul,D2,2,fungicide,Mv,Edge,0,seedling,5640923,707,20
jul,D2,2,water,Mv,Edge,0,seedling,10176874,105047,20
jul,D2,3,fungicide,Mv,Edge,0,seedling,10698063,46911,20
jul,D2,3,water,Mv,Edge,0,seedling,6166120,14378,20
jul,D2,4,fungicide,Mv,Edge,0,seedling,9584165,11086,19
jul,D2,4,water,Mv,Edge,0,seedling,9455764,38604,19
jul,D2,5,fungicide,Mv,Edge,0,seedling,10561874,44831,19
jul,D2,5,water,Mv,Edge,0,seedling,10029133,18419,20
jul,D2,6,fungicide,Mv,Edge,0,seedling,9641078,137420,20
jul,D2,6,water,Mv,Edge,0,seedling,8469624,19566,17
jul,D2,7,fungicide,Mv,Edge,0,seedling,7824017,2480,19
jul,D2,7,water,Mv,Edge,0,seedling,9232946,35061,18
jul,D2,8,fungicide,Mv,Edge,0,seedling,9771283,53365,19
jul,D2,8,water,Mv,Edge,0,seedling,10312831,74327,20
jul,D2,9,fungicide,Mv,Edge,0,seedling,6859293,9261,20
jul,D2,9,water,Mv,Edge,0,seedling,8285354,7034,20
jul,D3,10,fungicide,Mv,Edge,0,seedling,8193951,1083,19
jul,D3,10,water,Mv,Edge,0,seedling,8999325,2145,20
jul,D3,1,fungicide,Mv,Edge,0,seedling,8309602,3744,19
jul,D3,1,water,Mv,Edge,0,seedling,7870261,13570,20
jul,D3,2,fungicide,Mv,Edge,0,seedling,8942488,4147,20
jul,D3,2,water,Mv,Edge,0,seedling,10748103,15997,19
jul,D3,3,fungicide,Mv,Edge,0,seedling,9284242,6607,19
jul,D3,3,water,Mv,Edge,0,seedling,9048553,5763,20
jul,D3,4,fungicide,Mv,Edge,0,seedling,9109318,35688,19
jul,D3,4,water,Mv,Edge,0,seedling,5870083,43355,20
jul,D3,5,fungicide,Mv,Edge,0,seedling,8446391,43004,19
jul,D3,5,water,Mv,Edge,0,seedling,8869377,46927,20
jul,D3,6,fungicide,Mv,Edge,0,seedling,9242057,19783,20
